"code";"parent_code";"name";"accountType.importId";"reconcileOk";"isRegulatoryAccount";"commonPosition";"compatibleAccounts";"useForPartnerBalance";"isTaxAuthorizedOnMoveLine";"isTaxRequiredOnMoveLine";"defaultTax.code";"vatSystemSelect";"isRetrievedOnPaymentSession";"manageCutOffPeriod";"statusSelect"
5003;"G000";"Cost of sale 3";"GBR_COA2000";"FALSE";"FALSE";2;;;"TRUE";"TRUE";"UK_SRT";1;"FALSE";"TRUE";1
"H000";"PNL";"Other Expenses";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
"H010";"H000";"Marketing Expenses";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
6000;"H010";"Advertising and promotions";"GBR_COA2000";"FALSE";"FALSE";2;;;"TRUE";"TRUE";"UK_SRT";1;"FALSE";"TRUE";1
6001;"H010";"Marketing";"GBR_COA2000";"FALSE";"FALSE";2;;;"TRUE";"TRUE";"UK_SRT";1;"FALSE";"TRUE";1
6002;"H010";"Exhibitions and events";"GBR_COA2000";"FALSE";"FALSE";2;;;"TRUE";"TRUE";"UK_SRT";1;"FALSE";"TRUE";1
"H020";"H000";"Distribution";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
6010;"H020";"Distribution costs";"GBR_COA2000";"FALSE";"FALSE";2;;;"TRUE";"TRUE";"UK_SRT";1;"FALSE";"TRUE";1
6020;"H020";"Distribution vehicles";"GBR_COA2000";"FALSE";"FALSE";2;;;"TRUE";"TRUE";"UK_SRT";1;"FALSE";"TRUE";1
6030;"H020";"Distribution salaries and wages";"GBR_COA2000";"FALSE";"FALSE";2;;;"TRUE";"TRUE";"UK_SRT";1;"FALSE";"TRUE";1
"I000";"H000";"PR";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
"I010";"I000";"Administrative expenses";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
