"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.supplychain.MrpFamily.rwcde";"com.axelor.apps.supplychain.db.MrpFamily";"x";"x";"x";"x";"x";;;"Supplychain Manager"
"perm.supplychain.MrpLine.rwcde";"com.axelor.apps.supplychain.db.MrpLine";"x";"x";"x";"x";"x";;;"Supplychain Manager"
"perm.supplychain.MrpLineOrigin.rwcde";"com.axelor.apps.supplychain.db.MrpLineOrigin";"x";"x";"x";"x";"x";;;"Supplychain Manager"
"perm.supplychain.CustomerShippingCarriagePaid.rwcde";"com.axelor.apps.supplychain.db.CustomerShippingCarriagePaid";"x";"x";"x";"x";"x";;;"Supplychain Manager"
"perm.supplychain.DeclarationOfExchanges.rwcde";"com.axelor.apps.supplychain.db.DeclarationOfExchanges";"x";"x";"x";"x";"x";;;"Supplychain Manager"
"perm.supplychain.PartnerSupplychainLink.rwcde";"com.axelor.apps.supplychain.db.PartnerSupplychainLink";"x";"x";"x";"x";"x";;;"Supplychain Manager"
"perm.supplychain.PartnerSupplychainLinkType.rwcde";"com.axelor.apps.supplychain.db.PartnerSupplychainLinkType";"x";"x";"x";"x";"x";;;"Supplychain Manager"
"perm.supplychain.StockMoveInvoicingBlockingReason.rwcde";"com.axelor.apps.supplychain.db.StockMoveInvoicingBlockingReason";"x";"x";"x";"x";"x";;;"Supplychain Manager"
"perm.supplychain.TimetableTemplate.rwcde";"com.axelor.apps.supplychain.db.TimetableTemplate";"x";"x";"x";"x";"x";;;"Supplychain Manager"
"perm.supplychain.TimetableTemplateLine.rwcde";"com.axelor.apps.supplychain.db.TimetableTemplateLine";"x";"x";"x";"x";"x";;;"Supplychain Manager"
