"importId";"name";"modelName";"statusSelect";"toAttach"
"9";"ManufOrder";"com.axelor.apps.production.db.ManufOrder";"2";false
"19";"OperationOrder";"com.axelor.apps.production.db.OperationOrder";"2";false
"61";"ProdProcess";"com.axelor.apps.production.db.ProdProcess";"2";false
"62";"Bill of Material";"com.axelor.apps.production.db.BillOfMaterial";"2";false
"63";"Raw material requirement";"com.axelor.apps.production.db.RawMaterialRequirement";"2";false
"64";"Cost sheet";"com.axelor.apps.production.db.CostSheet";"2";false
"65";"Work in progress valuation";"com.axelor.apps.production.db.ProductionBatch";"2";false
"66";"Mps Charge";"com.axelor.apps.production.db.MpsCharge";"2";false
